source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,ruwe
4658521644700967040,81.78235778760178,-68.4952505958942,-0.026276359116511973,0.016575845,1.6048864824481925,0.3481713668702064,14.256452,14.764011,13.622993,290.29333,5.5963163,0.9412666
4658929254268139904,78.47364693062819,-67.06345649420338,-0.011962780596077641,0.012763989,1.6777366879485693,0.19570564257753026,12.309593,12.849062,11.579829,298.0122,2.7042625,1.2267892
4659023090689530112,89.4452042765319,-68.68451955170868,-0.013885277872031273,0.019922193,1.5282206341476958,0.9586384253722426,15.19489,15.509012,14.675853,,,0.957727
4659292024370712576,86.6507883281394,-68.18428594129784,-0.010920146992375583,0.015441443,1.5236302003533468,0.6166863504351445,13.544978,14.081017,12.847566,301.6819,2.8004916,1.1942569
4659851572721436416,85.94713253676518,-66.58581443551101,0.027192669637031076,0.012458926,1.5673737330438249,0.7143766360646051,12.156468,12.78647,11.412216,313.83456,0.80160993,1.1157469
4660363361045224192,82.51028881905751,-65.93382613541746,-0.017111348878042963,0.01567095,1.5444131485627486,0.6096302502314178,13.123459,13.611319,12.496985,,,1.49203
4660363498484185856,82.49344048018231,-65.90564005261594,0.0013188650073881307,0.019412853,1.5962625575403286,0.2927637932227259,14.433751,14.765606,13.941702,277.31577,4.906208,1.1766291
4661266369343899904,76.7826279261806,-68.88873604454317,-0.002820362834794289,0.015363861,1.6985277921303277,-0.07142557702449695,13.124867,13.651525,12.450107,260.2306,1.9336238,1.0701716
4661326189635227648,75.03154142880535,-68.45001805764421,0.01925557538259752,0.012483736,1.8815048901754787,-0.048690715591369615,11.970856,12.491295,11.153317,288.20447,6.7528267,0.9979085
4661341750282230656,76.00991212627844,-68.35877119339912,0.0127517535983426,0.020670326,1.7486228544175537,-0.09701754553526781,15.090971,15.419614,14.545057,,,0.912949
4661656936444768128,75.05428304928718,-67.71216698556688,-0.062180623152596884,0.032088056,1.7174786109000224,-0.13968314344149135,16.108072,16.39186,15.66065,,,1.0249119
4662155148333196800,73.91899123322658,-66.42869965718,0.014779776252245313,0.013368118,1.9172055678740576,-0.006511590305297693,11.492302,12.062064,10.778393,280.04263,1.0635281,0.8583633
4663635885576846336,78.49115958787554,-65.47759179204711,-0.046331902282316796,0.02963062,1.6649191946569628,0.16161322116751697,15.62891,15.942923,15.156963,,,1.07442
4663636126094977792,78.3611391128284,-65.45136931313897,0.0017241537854312278,0.03182054,1.6259825481932872,0.1973231418781173,15.834666,16.19203,15.303064,,,1.1137475
4685697238478061312,14.38186189107947,-73.58740196218439,-0.019851038555663246,0.032676745,0.6331777014356217,-1.1660366266689979,15.879753,16.160767,15.429345,,,0.94390833
4685791697713071616,9.232058581494714,-73.94113138165638,-0.016593237795620868,0.016794214,0.49352731955938667,-1.208465790581861,14.559642,14.923521,14.032938,144.53427,6.1991425,1.016604
4685792625426268032,9.01442998621342,-73.93302384941768,-0.023126162482589994,0.019097047,0.42094460788541055,-1.1737063077495793,14.516942,14.931495,13.93566,159.49608,7.427391,1.2447199
4685799566092789632,9.570720707472093,-73.8147062639321,0.01310359400219207,0.01821812,0.4717577663193535,-1.206677440609083,15.044121,15.362793,14.570461,,,1.0198637
4685821418888717696,10.454512086775416,-73.72838818943363,-0.024220286517466424,0.019293819,0.5574899735333134,-1.1386823985118424,14.878152,15.272792,14.317535,,,1.0439081
4685821487608191104,10.431045294245093,-73.72330701368578,-0.0026192266799898653,0.012896741,0.7161176462745426,-1.2993666899957153,11.721548,12.219632,11.009601,114.495895,4.7628527,1.0289361
4685834230797375232,11.227726303467618,-73.46756790266818,-0.015558861676085271,0.06751989,1.0046268386068034,-2.1090503276401744,14.747468,14.887902,14.301911,,,3.6974003
4685838907998450944,10.481166632290538,-73.53989675689107,-0.008398813213319884,0.015570987,0.6290172174833631,-1.248914334319939,14.407029,14.843178,13.803093,137.48274,5.7980676,1.1271296
4685881995137290752,13.273765845986421,-73.39267557920735,0.28876951007466956,0.17559576,1.222799011895999,-2.7414086680217786,16.236488,16.227379,15.501489,,,5.983329
4685892921474983168,14.707358444887154,-73.3075281643662,-0.3835448558637969,0.17226906,1.5148614630721922,-1.881326948523499,16.834793,17.038517,16.419764,,,3.9014366
4685900510692557312,15.087651942954887,-73.17402403982051,-0.07791477253401635,0.042693775,0.8521737903145061,-1.3288756346327821,16.636297,16.82569,16.236895,,,1.0351533
4685908795737835648,13.994069959406145,-73.20831055911144,-0.09897708399696487,0.050508346,0.5894453381656306,-1.0729307084879043,16.269814,16.481318,15.757312,,,1.6368651
4685912953266081408,13.756786858755202,-73.16317761964824,0.009515414387561854,0.027828064,0.592773772406217,-1.1482124805557443,15.846365,16.20332,15.310021,,,0.97456664
4685956177828290944,12.661619044117478,-72.98402653912783,0.07887671951044353,0.042396028,0.8416969546515514,-1.0809688498771437,16.730928,17.003262,16.266977,,,0.98212975
4687209998985047296,16.21274859703419,-73.22025292104871,0.018684466379323826,0.026680192,0.9448340094147127,-1.25929900043454,15.664137,15.936963,15.213229,,,0.99977785
4688810475608636800,8.228831426480989,-73.82197362604799,0.003556606095797876,0.014750289,0.5890922002874017,-1.2082284185480883,14.011184,14.316108,13.52361,118.91355,5.227112,1.1096876
4688863797635493248,10.160829654631893,-73.22064754220202,-0.053164675427652436,0.017383145,0.583183993393404,-1.2493922047736359,14.631308,15.007372,14.060658,131.40675,7.301154,1.0784502
4688865863517608576,10.73956126450454,-73.1207334347452,-0.011357705487816429,0.015542409,0.48679248658478935,-1.135169422879207,14.287064,14.62977,13.733806,121.010475,5.2509427,1.0165412
4688923136934770560,10.394651476271015,-72.85608208715801,0.04774046101301759,0.06861542,0.7577598828183629,-1.224327120446132,17.381828,17.448273,16.703241,,,1.0314132
4688965399355605120,12.619998758001238,-72.75256434186569,0.003392671818167674,0.013741616,0.7981409141945262,-1.297856668712604,11.7714,12.19331,11.142095,122.92309,4.977944,1.0610318
4688974886982934016,11.721306716597553,-72.71437698273269,0.024519309899774428,0.013011396,0.7390489311977346,-1.4598876834265386,12.19219,12.639639,11.562316,140.25275,5.492861,1.1766995
4689013198100302336,14.408754225154727,-72.30336493992841,-0.05346643187920208,0.01585235,0.7183776199095431,-1.1877604496711052,14.410112,14.831279,13.814745,160.54303,4.8651953,0.9965514
4689057414725777152,13.427701725074732,-72.28712604772882,0.017162073944708416,0.013268318,0.785238001905882,-1.3590521424806679,12.050871,12.496317,11.411954,160.69214,4.002009,1.1962732
4689071575280146432,13.98358267573949,-71.98408684869818,-0.04076605170135292,0.017581822,0.8568351217559207,-1.3341067308390673,13.027613,13.522355,12.40718,149.15814,1.9655085,1.504002
4689268280459336320,13.236711683565952,-71.91757367065695,0.03958098085302461,0.012647841,0.7912506687269507,-1.3269753184062716,12.670829,13.208642,11.978434,157.90234,3.790274,1.1225196
